"result_title","result_url","result_summary"
"PDF LAW OF UKRAINE On Securing the Rights and Freedoms of Citizens and the ...","https://usa.mfa.gov.ua/mediafiles/sites/usa/files/2014.05.26_Law_on_occupied_Crimea.pdf","1. For the purposes of this Law, the temporarily occupied territory of Ukraine shall be defined as follows: 1) The land territory of the Autonomous Republic of Crimea and of the city of Sevastopol and the inland waters of Ukraine adjacent to these territories; 2) The inland waters and territorial sea of Ukraine adjacent to the Crimean"
"On Ensuring Civil Rights and Freedoms and the Legal Regime on ...","https://www.dentons.com/en/insights/alerts/2014/april/22/legal-regime-on-temporarily-occupied-territory-of-ukraine","On Ensuring Civil Rights and Freedoms and the Legal Regime on Temporarily Occupied Territory of Ukraine"
"Human Rights in Ukraine","https://ukrainetrek.com/about-ukraine-overview/human-rights-in-ukraine","According to the Constitution, Ukraine is a sovereign and independent, democratic, social, legal state. Human rights in Ukraine are human rights enshrined in Section 2 of the Constitution of Ukraine ""Rights, Freedoms and Duties of a Person and a Citizen"". A citizen of Ukraine has all rights and freedoms on its territory and has equal duties stipulated by the Constitution of Ukraine."
"On Ensuring Civil Rights and Freedoms and the Legal Regime on ...","https://www.lexology.com/library/detail.aspx?g=afbf57f5-4203-4c66-b4b5-8bd474a2112b","On Ensuring Civil Rights and Freedoms and the Legal Regime on Temporarily Occupied Territory of Ukraine Dentons UkraineApril 22 2014 On 15 April 2014 the Ukrainian Parliament..."
"Ukraine: Martial Law Introduced in Response to Russian Invasion","https://www.loc.gov/item/global-legal-monitor/2022-03-03/ukraine-martial-law-introduced-in-response-to-russian-invasion/","The Law on the Legal Regime of Martial Law, which was passed in 2015, regulates the mechanism of imposing temporary restrictions on the constitutional rights, freedoms, and legitimate interests of individuals and legal entities. (Law on the Legal Regime of Martial Law art. 1(1).) The special legal regime converts civilian authorities into military administrations at all levels of government."
"Ukraine: creates a special legal regime in the Crimea - Lexology","https://www.lexology.com/library/detail.aspx?g=7a056d06-ce07-4f50-94f9-c4f6540502b1","On 15 April 2014 Ukrainian Parliament adopted the Law ""On Ensuring Protection of the Rights and Freedoms of Citizens and Legal Regime on the Temporarily Occupied Territory of..."
"PDF LAW ON SANCTIONS ENACTED - DLA Piper","https://www.dlapiper.com/~/media/Files/Insights/Publications/2014/09/Law_of_Ukraine_On_sanctions_Eng.pdf","The Law ""On Ensuring the Citizen's Rights and Freedoms and the Legal Regime on the Temporarily Occupied Territory of Ukraine"", enacted on 27 April 2014 was one of the first laws called to address the situation in the country. The law regulated legal relations within territories of Ukraine, temporarily occupied"
"Ukraine: Freedom in the World 2020 Country Report | Freedom House","https://freedomhouse.org/country/ukraine/freedom-world/2020","The constitution and a 1991 law define religious rights in Ukraine, and these are generally respected. However, smaller religious groups continue to report some discrimination. Vandalism of Jewish structures and cemeteries continues. Acknowledging one's atheism may result in discrimination."
"Ukraine: Freedom in the World 2022 Country Report | Freedom House","https://freedomhouse.org/country/ukraine/freedom-world/2022","The numerical scores and status listed above do not reflect conditions in Crimea and Eastern Donbas, which are examined in separate reports. Freedom in the World reports assess the level of political rights and civil liberties in a given geographical area, regardless of whether they are affected by the state, nonstate actors, or foreign powers. Disputed territories are sometimes assessed separately if they meet certain criteria, including boundaries that are sufficiently stable to allow year ..."
"PDF Constitution of Ukraine","https://unece.org/fileadmin/DAM/hlm/prgm/cph/experts/ukraine/ukr.constitution.e.pdf","Foreigners and stateless persons staying in Ukraine on legal grounds shall enjoy the same rights and freedoms and bear the same duties as citizens of Ukraine, except as restricted by the Constitution, laws, or international treaties of Ukraine. Foreigners and stateless persons may be granted asylum under the procedure established by law. Article 27."
