"result_title","result_url","result_summary"
"On Ensuring Civil Rights and Freedoms and the Legal Regime on ...","https://www.lexology.com/library/detail.aspx?g=afbf57f5-4203-4c66-b4b5-8bd474a2112b","On Ensuring Civil Rights and Freedoms and the Legal Regime on Temporarily Occupied Territory of Ukraine Dentons UkraineApril 22 2014 On 15 April 2014 the Ukrainian Parliament..."
"LAW ON SANCTIONS ENACTED - DLA Piper","https://www.dlapiper.com/~/media/Files/Insights/Publications/2014/09/Law_of_Ukraine_On_sanctions_Eng.pdf","The Law ""On Ensuring the Citizen's Rights and Freedoms and the Legal Regime on the Temporarily Occupied Territory of Ukraine"", enacted on 27 April 2014 was one of the first laws called to address the situation in the country. The law regulated legal relations within territories of Ukraine, temporarily occupied"
"CONSTITUTION OF UKRAINE - United States Department of Justice","https://www.justice.gov/sites/default/files/eoir/legacy/2013/11/08/constitution_14.pdf","adopts this Constitution - Basic Law of Ukraine. Section And GENERAL BASES Article 1. Ukraine is the sovereign and independent, democratic, social, legal state. Article 2. Sovereignty of Ukraine spreads on all its territory. Ukraine is the unitary state. Territory of Ukraine within the limits of existent border is integral and inviolable."
"Ukraine: creates a special legal regime in the Crimea - Lexology","https://www.lexology.com/library/detail.aspx?g=7a056d06-ce07-4f50-94f9-c4f6540502b1","On 15 April 2014 Ukrainian Parliament adopted the Law “On Ensuring Protection of the Rights and Freedoms of Citizens and Legal Regime on the Temporarily Occupied Territory of..."
"The Ukraine War and International Law","https://www.counterpunch.org/2023/02/01/the-ukraine-war-and-international-law/",""
"Human Rights Watch calls on Ukraine to investigate landmine accusations","https://www.msn.com/en-us/news/other/human-rights-watch-calls-on-ukraine-to-investigate-landmine-accusations/ar-AA16WLCA",""
"Human Rights Watch urges Ukraine to investigate antipersonnel mine use","https://www.devdiscourse.com/article/law-order/2336903-human-rights-watch-urges-ukraine-to-investigate-antipersonnel-mine-use",""
"Everything you need to know about human rights in Ukraine - Amnesty ...","https://www.amnesty.org/en/location/europe-and-central-asia/ukraine/report-ukraine/","The UN Human Rights Monitoring Mission in Ukraine (UNMMU) reported an absence of the necessary services and support for survivors of domestic violence, and noted the personal risks, including of arrest and prosecution, faced by activists defending the rights of women."
"Human Rights in Ukraine","https://ukrainetrek.com/about-ukraine-overview/human-rights-in-ukraine","The current Constitution of Ukraine was adopted on June 28, 1996. According to the Constitution, Ukraine is a sovereign and independent, democratic, social, legal state. Human rights in Ukraine are human rights enshrined in Section 2 of the Constitution of Ukraine “Rights, Freedoms and Duties of a Person and a Citizen”."
"Fundamental freedoms squeezed in Ukraine, Human Rights Council hears","https://news.un.org/en/story/2021/12/1107972","15 December 2021 Human Rights The UN Human Rights Council heard on Wednesday that fundamental freedoms in Ukraine have been squeezed in Government-controlled areas, as well as across the..."
"On ensuring the Rights and Freedoms of Citizens and the Legal Regime on ...","http://www.jurispub.com/chapters-articles/Book-Chapters-Journal-Articles/On-ensuring-the-Rights-and-Freedoms-of-Citizens-and-the-Legal-Regime.html","The defense and fully-fledged realization of national-cultural, social, and political rights of citizens of Ukraine, including native peoples and national minorities, is the basis of the humanitarian, social, and economic policy of the State of Ukraine with respect to the population of the temporarily occupied territory of Ukraine. Article 1 ..."
