,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
UKRAINE DRAFT LAW ON THE PRINCIPLES OF STATE ...,and,civil,rights,and,freedoms,in,the,temporarily,occupied,territories.,3.,Ukraine,shall,compensate,in,full,for,pecuniary,and,non-pecuniary,damages.,empty,empty,empty,empty,empty,empty,empty,empty,empty
Annex A: Law of Ukraine Number 2268-VIII in English - GOV.UK,Jan,"5,",2023,—,In,order,to,guarantee,the,state,sovereignty,of,Ukraine,in,the,temporarily,occupied,territories,in,Donetsk,and,Luhansk,"regions,",the,state,...,empty,empty,empty,empty
On Ensuring Civil Rights and Freedoms and the Legal ...,Apr,"22,",2014,—,1),Activities,of,state,and,local,self-governance,bodies,created,in,the,occupied,territories,in,breach,of,Ukrainian,law,shall,be,"prohibited,",and,...,empty,empty,empty
Draft Law of Ukraine “On ensuring of rights and freedoms of ...,“On,ensuring,of,rights,and,freedoms,of,internally,displaced,persons”.,This,law,under,the,Constitution,and,laws,of,"Ukraine,",international,treaties,of,Ukraine.,empty,empty,empty,empty,empty,empty,empty
Law of Ukraine on the Legal Regime on the Temporarily ...,-,It,foresees,that,citizens,of,Ukraine,have,rights,for,free,and,unrestricted,entry,and,exit,from,the,temporarily,occupied,territory,upon,presenting,document,...,empty,empty,empty,empty,empty
Administrative Service Delivery during War Time - OECD,Oct,"4,",2022,—,The,main,law,governing,this,topic,is,the,Law,of,Ukraine,“On,Ensuring,of,Rights,and,Freedoms,of,Citizens,and,the,Legal,Regime,on,the,...
News - Verkhovna Rada of Ukraine,Jul,"18,",2022,—,...,Law,of,Ukraine,"""On",ensuring,the,rights,and,freedoms,of,citizens,and,the,legal,regime,in,the,temporarily,occupied,territory,of,"Ukraine"").",empty,empty,empty
law of ukraine - CIS Legislation,Apr,"15,",2014,—,1207-VII,"""About",providing,the,rights,and,freedoms,of,citizens,and,legal,regime,in,temporarily,occupied,territory,of,"Ukraine""",empty,empty,empty,empty,empty,empty,empty,empty
ПРОЕКТ - OHCHR,The,problem,of,protecting,human,rights,and,freedoms,is,aggravated,by,the,temporary,occupation,of,the,part,of,Ukrainian,territory,and,the,military,aggression,...,empty,empty,empty,empty,empty
Statement of the Ministry of Foreign Affairs of Ukraine on ...,The,Law,of,Ukraine,“On,Ensuring,Civil,Rights,and,"Freedoms,",and,the,Legal,Regime,on,the,Temporarily,Occupied,Territory,of,Ukraine”,of,April,"15,",2014,clearly,...,empty,empty,empty
